t,area,f0_x,f0_y,f0_z,f0_n,f0_mag,f2_x,f2_y,f2_z,f2_n,f2_mag
2.660961e-03, 6.647947e-04,-1.079038e+05,-1.385451e+05,-8.331240e+02,-1.856707e+05,1.756094e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.670583e-03, 6.432495e-04,-1.077620e+05,-1.359101e+05,-8.467065e+02,-1.834708e+05,1.734501e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.680202e-03, 6.643577e-04,-1.095481e+05,-1.406385e+05,-6.032046e+02,-1.884572e+05,1.782704e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.690887e-03, 6.868859e-04,-1.120950e+05,-1.460984e+05,-5.912200e+02,-1.944997e+05,1.841477e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.700500e-03, 6.873485e-04,-1.130662e+05,-1.474212e+05,-5.710744e+02,-1.961320e+05,1.857883e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.710110e-03, 6.652334e-04,-1.115566e+05,-1.460451e+05,-5.084530e+02,-1.938244e+05,1.837779e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.720784e-03, 6.883450e-04,-1.154501e+05,-1.490386e+05,-8.634651e+02,-1.988946e+05,1.885258e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.730388e-03, 6.888219e-04,-1.164418e+05,-1.504543e+05,-6.823967e+02,-2.004326e+05,1.902516e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.741055e-03, 6.893336e-04,-1.172297e+05,-1.513181e+05,-4.758037e+02,-2.015688e+05,1.914163e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750654e-03, 6.445711e-04,-1.137114e+05,-1.447826e+05,-1.185602e+03,-1.938352e+05,1.841024e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.760251e-03, 6.679090e-04,-1.167450e+05,-1.504681e+05,-8.843259e+02,-2.004199e+05,1.904490e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.770912e-03, 6.327773e-04,-1.158317e+05,-1.438622e+05,-8.743483e+02,-1.944990e+05,1.847000e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.780505e-03, 6.484888e-04,-1.187657e+05,-1.486790e+05,-2.525007e+02,-2.004084e+05,1.902914e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.790096e-03, 6.489085e-04,-1.201641e+05,-1.509290e+05,-5.416367e+02,-2.029925e+05,1.929229e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.800748e-03, 6.697881e-04,-1.232762e+05,-1.570787e+05,-8.168968e+02,-2.099619e+05,1.996782e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.810332e-03, 6.472443e-04,-1.220648e+05,-1.532030e+05,-1.151630e+03,-2.058683e+05,1.958885e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.820977e-03, 6.690937e-04,-1.250106e+05,-1.604871e+05,-8.675480e+02,-2.136461e+05,2.034318e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.830555e-03, 6.664204e-04,-1.246605e+05,-1.604575e+05,-1.031274e+03,-2.134552e+05,2.031943e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.840129e-03, 6.668475e-04,-1.266690e+05,-1.616410e+05,-1.253232e+03,-2.160291e+05,2.053641e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.850763e-03, 6.619661e-04,-1.265423e+05,-1.618986e+05,-1.042805e+03,-2.162099e+05,2.054877e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.860330e-03, 6.838872e-04,-1.310711e+05,-1.664621e+05,-1.020528e+03,-2.228380e+05,2.118733e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
